"semana","casosSemanais","obitosSemanais"
2025-01-12,17697,201
2025-01-19,15133,109
2025-01-26,12990,114
2025-02-02,8865,67
2025-02-09,13709,82
2025-02-16,22097,153
2025-02-23,6354,34
2025-03-02,11467,193
2025-03-09,10938,122
2025-03-16,5172,46
2025-03-23,3779,33
2025-03-30,7477,144
2025-04-06,1838,25
2025-04-13,2788,171
2025-04-20,2228,46
2025-04-27,2470,61
2025-05-04,12909,17
2025-05-11,2781,39
2025-05-18,2246,24
2025-05-25,2592,22
2025-06-01,1426,16
2025-06-08,2681,40
2025-06-15,1260,17
2025-06-22,1579,35
2025-06-29,1276,12
2025-07-06,3006,90
2025-07-13,1227,30
2025-07-20,3498,31
2025-07-27,2892,44
2025-08-03,2261,16
2025-08-10,5240,18
2025-08-17,4721,21
2025-08-24,8070,18
2025-08-31,0,0
